Date,kodex200
2012-01-03,0.03103392751991453
2012-01-04,-0.005809018003033252
2012-01-05,-0.0018090504006644996
2012-01-06,-0.013983638301328705
2012-01-09,-0.012940669035953289
2012-01-10,0.017013913966471936
2012-01-11,-0.0024419554599673663
2012-01-12,0.0073079477829401315
2012-01-13,0.011263275216055383
2012-01-16,-0.010656471805596219
2012-01-17,0.019814430104741182
2012-01-18,-0.0007929062260156904
2012-01-19,0.01496091049077116
2012-01-20,0.019733663592677954
2012-01-25,0.0034419885732450937
2012-01-26,0.0009542807095537792
2012-01-27,0.0015250340638990698
2012-01-30,-0.011299716198136436
2012-01-31,0.005378412851438314
2012-02-01,0.0011486463924536747
2012-02-02,0.01122613816192769
2012-02-03,-0.004931438188504346
2012-02-06,0.0013301404289898658
2012-02-07,0.0017075849122278042
2012-02-08,0.011310362523425292
2012-02-09,0.004301989436051098
2012-02-10,-0.011072901429075367
2012-02-13,0.0056453698307096485
2012-02-14,-0.0009385901545195016
2012-02-15,0.012506125966933903
2012-02-16,-0.013257519545551726
2012-02-17,0.013443179426690348
2012-02-20,0.002777888785830645
2012-02-21,0.00018492469761067942
2012-02-22,0.0
2012-02-23,-0.008542223649484116
2012-02-24,0.004280372967991634
2012-02-27,-0.013272765079028071
2012-02-28,0.007685894369250349
2012-02-29,0.010957737642690918
2012-03-02,0.0012918980470297337
2012-03-05,-0.009266006414465993
2012-03-06,-0.008789507215498229
2012-03-07,-0.008298640001553762
2012-03-08,0.011299616206118586
2012-03-09,0.0087630981562005
2012-03-12,-0.005771476153023762
2012-03-13,0.011509276941232095
2012-03-14,0.011195916159805098
2012-03-15,-0.00018225293942485718
2012-03-16,-0.003841174370745519
2012-03-19,0.004570903557888828
2012-03-20,-0.0031060907947777177
2012-03-21,-0.005872539245234051
2012-03-22,0.0007360485915402286
2012-03-23,-0.0012881862980496663
2012-03-26,-0.0009213088940258131
2012-03-27,0.010817016533993442
2012-03-28,-0.0021908132697320195
2012-03-29,-0.009917519031238045
