round,best_seed,best_val_dsr,test_dsr_sum,test_sharpe,test_cum_return,test_mdd,test_turnover,test_n_steps,train_start,train_end,val_start,val_end,test_start,test_end
1,0,-1.2425717892963188,12.332255011946,2.3946667478777806,0.29890961566432117,-0.08933460878849508,1.1975226402282715,245,2013-08-06,2017-12-31,2018-01-01,2018-12-31,2019-01-01,2019-12-31
2,0,22.40344462074594,-3.813555451408992,1.630741140959565,0.20779024410063873,-0.08000802633592796,0.48878708481788635,246,2014-01-01,2018-12-31,2019-01-01,2019-12-31,2020-01-01,2020-12-31
3,0,18.76137644945765,-14.143380698553402,-1.3810945093615594,-0.12746796383502057,-0.15517713615090922,0.8959783911705017,246,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31
4,0,-8.194217427702117,12.977553592212105,0.6189720065027202,0.07546941913365068,-0.09006683404280835,0.9031516909599304,242,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31
5,0,14.656198964832043,5.8601911245306075,0.767182753528549,0.10359007764251205,-0.12603805052839678,1.212502360343933,230,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31
6,0,16.36266096435036,24.69855586529744,0.47597758448474864,0.060089511691396424,-0.08736798437376014,1.1056474447250366,240,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31
7,0,26.797119295543332,23.81319498092393,2.25902652030287,0.23101334206083957,-0.04452918970982378,0.8768153190612793,242,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31
8,0,28.265710050950137,-19.840920305046495,0.43346306605344526,0.01980511857108147,-0.10936917318033501,0.3313537836074829,62,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2026-01-01,2026-04-03
