round,best_seed,best_val_dsr,test_dsr_sum,test_sharpe,test_cum_return,test_mdd,test_turnover,test_n_steps,train_start,train_end,val_start,val_end,test_start,test_end
1,0,3.3559173819201087,-3.6370110645959532,1.0711632905059907,0.21173567490130596,-0.19530449442857223,1.3169866800308228,245,2013-08-06,2017-12-31,2018-01-01,2018-12-31,2019-01-01,2019-12-31
2,0,10.319566346064772,30.64671521180649,2.326504595496214,0.6744108075707262,-0.12664977339505112,0.93501877784729,246,2014-01-01,2018-12-31,2019-01-01,2019-12-31,2020-01-01,2020-12-31
3,4,47.50401463850926,3.849585656686947,0.5354681820282285,0.08715484813271535,-0.11406357318696292,1.0078027248382568,246,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31
4,1,32.01231153165111,7.663313971734108,-1.2725484584653466,-0.211456650742322,-0.28056623209723297,1.3115919828414917,242,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31
5,2,19.720084002434557,4.6190907314299015,1.7842277743146355,0.4004645285082127,-0.12398490130196471,1.5095003843307495,230,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31
6,0,13.99885267757649,45.09721309216882,1.5715453317693706,0.34061208362847073,-0.10945502914358907,1.427472710609436,240,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31
7,0,53.957858112288314,33.4196400631511,2.094860406678812,0.43272865607654265,-0.09303136199533624,1.3315215110778809,242,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31
8,4,48.10047553302598,-0.8844888343558694,-0.04594133669398869,-0.005217084114810033,-0.21039428173001695,1.3993375301361084,62,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2026-01-01,2026-04-03
