round,cumulative_return,sharpe_ratio,mdd,turnover,n_steps,n_days_hmm_on,n_days_hmm_off,frac_off,test_start,test_end
1,0.2621766873149187,2.364819522819815,-0.07390552449319943,1.0922093391418457,245,131,114,0.46530612244897956,2019-01-01,2019-12-31
2,0.1748415900825493,1.4419504701519776,-0.07300130628055568,0.49699679017066956,246,68,178,0.7235772357723578,2020-01-01,2020-12-31
3,-0.12560860234140192,-1.3605719474976954,-0.15360181358657887,0.897559642791748,246,5,241,0.9796747967479674,2021-01-01,2021-12-31
4,0.06370740849001266,0.5194600361557824,-0.09006683404280846,0.9125249981880188,242,5,237,0.9793388429752066,2022-01-01,2022-12-31
5,0.08971250336388659,0.6864126803892502,-0.12783602197575716,1.227471113204956,230,104,126,0.5478260869565217,2023-01-01,2023-12-31
6,0.07496333098898011,0.7834286869943585,-0.05702133137915377,0.8745487332344055,240,240,0,0.0,2024-01-01,2024-12-31
7,0.32224561348162406,3.267142535824252,-0.0362929234055821,0.7399609684944153,242,242,0,0.0,2025-01-01,2025-12-31
8,0.010928941854250862,0.2419871455201793,-0.10936917318033501,0.307317852973938,62,5,57,0.9193548387096774,2026-01-01,2026-04-03
