strategy,sharpe,cum_return,mdd
PPO (RL),0.9163203677568524,1.1621218650029057,-0.16588236663061962
KODEX200,0.7781536978829944,2.510434453725673,-0.3464205573952537
Equal Weight,0.6435403096256421,1.1219346548217368,-0.3444541746923314
