round,best_seed,best_val_dsr,test_dsr_sum,test_sharpe,test_cum_return,test_mdd,test_turnover,test_n_steps,train_start,train_end,val_start,val_end,test_start,test_end
1,0,0.11262129480078198,30.441230287510407,4.065062077628964,0.48553001451470723,-0.07848622491176949,1.1108812093734741,245,2013-08-06,2017-12-31,2018-01-01,2018-12-31,2019-01-01,2019-12-31
2,0,44.1352866673669,16.77181269919799,1.4437031046270512,0.20568305909284068,-0.08659856863667781,0.6809436678886414,246,2014-01-01,2018-12-31,2019-01-01,2019-12-31,2020-01-01,2020-12-31
3,0,21.463909481435426,-2.0532259349762567,-0.4698216032952779,-0.04529940476672978,-0.12031818256543103,0.8427565693855286,246,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2021-01-01,2021-12-31
4,0,22.739187417525763,2.378615778757723,-1.2490390693758449,-0.13620116330056398,-0.17960508824758437,0.8187470436096191,242,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31
5,0,9.161175079652857,1.6390772236441684,1.5422520986395294,0.2104195213766158,-0.07888935593873758,1.290642499923706,230,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31
6,0,6.969548155995645,33.1610260937847,0.7834286869943585,0.07496333098898011,-0.05702133137915377,0.8745487332344055,240,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31
7,0,43.78566182991557,12.342433964353283,3.267142535824252,0.32224561348162406,-0.0362929234055821,0.7399609684944153,242,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31
8,0,26.634827388888525,-17.228271319425158,-0.08959355619140624,-0.003642681493466138,-0.09254201241497151,0.12410161644220352,62,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2026-01-01,2026-04-03
