strategy,sharpe,cum_return,mdd
PPO (RL),1.0794694010150476,3.013310442868579,-0.3076118071554377
KODEX200,0.7781536978829944,2.510434453725673,-0.3464205573952537
Equal Weight,0.6435403096256421,1.1219346548217368,-0.3444541746923314
