round,test_dist_mean,sharpe_hmm,sharpe_nohmm,hmm_advantage,gated_use_hmm_off,gated_sharpe,oracle_sharpe,correct_decision
1,0.8093,4.0651,2.3947,1.6704,False,4.0651,4.0651,True
2,4.9152,1.4437,1.6307,-0.187,True,1.6307,1.6307,True
3,2.4792,-0.4698,-1.3811,0.9113,True,-1.3811,-0.4698,False
4,1.2899,-1.249,0.619,-1.868,True,0.619,0.619,True
5,0.8791,1.5423,0.7672,0.7751,False,1.5423,1.5423,True
6,0.7947,0.7834,0.476,0.3075,False,0.7834,0.7834,True
7,0.9544,3.2671,2.259,1.0081,False,3.2671,3.2671,True
8,4.3183,-0.0896,0.4335,-0.5231,True,0.4335,0.4335,True
