round,date,distance,use_hmm_off,log_return
1,2019-01-02,2.8856993025811715,False,0.0026209082424640657
1,2019-01-03,2.604808042644738,False,-0.019164977610111236
1,2019-01-04,1.8914965802472345,False,0.000635382229089737
1,2019-01-07,9.274444699452259,False,0.0015959775157272816
1,2019-01-09,1.6939946499605476,False,0.014074561132490634
1,2019-01-10,0.7105173183672858,True,0.005334256076812744
1,2019-01-11,0.5309016110581221,True,-0.000359781316621229
1,2019-01-14,0.6752489960612077,True,-0.0007768462873063982
1,2019-01-15,0.6663336222542703,True,0.005707598371058702
1,2019-01-16,0.5469814632158403,True,0.0007302994936704636
1,2019-01-17,0.6979171277937061,True,-0.0002842774623772129
1,2019-01-18,0.5471522974705065,True,0.0016956031711772084
1,2019-01-21,0.542540657834823,True,-0.004300045866519213
1,2019-01-22,0.6553394659609709,True,-0.0019496845049783587
1,2019-01-23,0.5457540227964,True,0.0008807842804118991
1,2019-01-24,0.5246007551401036,True,0.016364841796457766
1,2019-01-25,0.4769297242630326,True,0.013978903459012508
1,2019-01-28,0.7373514492354828,True,-0.003664665090665221
1,2019-01-29,0.7487097321624174,True,-0.0013095453217625618
1,2019-01-30,2.9375621254333386,True,0.002519834689050913
1,2019-01-31,2.24649912929654,True,0.0033108021974563597
1,2019-02-01,0.7566449514072379,True,-0.004119265615940094
1,2019-02-07,0.5233605015452697,True,-0.005130007888376713
1,2019-02-08,0.5669506252870334,True,-0.007839518444240093
1,2019-02-11,0.579064728184053,True,0.004943169791996479
1,2019-02-12,0.5805978279964624,True,0.0006957447570748627
1,2019-02-13,1.2908200311821536,True,0.0029425621163100004
1,2019-02-14,1.4989706970220593,True,0.00499048088863492
1,2019-02-15,0.44314982597876973,True,-0.003307834055274725
1,2019-02-18,0.33401199097461265,True,0.008163671611249448
1,2019-02-19,0.9716866147858907,True,0.0025803867273032667
1,2019-02-20,0.5868468947546067,True,0.004665846895426512
1,2019-02-21,0.42998835009795344,True,-0.0020298730149865152
1,2019-02-22,0.33937937003969043,True,1.2997793033719094e-05
1,2019-02-25,0.5449533536952796,True,-0.0018362792775034904
1,2019-02-26,0.47698444063261314,True,-0.004045591954141855
1,2019-02-27,0.433392870492198,True,0.0036426068633794786
1,2019-02-28,1.1754692370493,True,0.0002557192731648684
1,2019-03-04,0.7283151005070221,True,-0.013110099451243877
1,2019-03-05,0.5431614939327865,True,-0.0029861320935189724
1,2019-03-06,0.44302185409007855,True,-0.004143096488714218
1,2019-03-07,0.4410158938939457,True,-0.004390393000096082
1,2019-03-08,0.8768884861235187,True,-0.010662751972675324
1,2019-03-11,0.9787828444854857,True,0.0035220759715884923
1,2019-03-12,0.887946937434305,True,0.011667431984841823
1,2019-03-13,0.5703033428696033,True,0.0037024952813982962
1,2019-03-14,0.5463127751235017,True,-0.002128244064003229
1,2019-03-15,0.1823644937335436,True,-0.004893852306902409
1,2019-03-18,0.25373272185297774,True,0.005723598978668452
1,2019-03-19,0.14821196023378042,True,0.000712162662949413
1,2019-03-20,0.29054168858484297,True,0.0014186652772128583
1,2019-03-21,0.24046018603641864,True,0.004498342084884643
1,2019-03-22,0.253867232490713,True,-0.008375997973978519
1,2019-03-25,1.423205116232382,True,0.002629424447566271
1,2019-03-26,0.5685573845997826,True,-0.0017638927198946476
1,2019-03-27,0.4922704424490792,True,-0.00038958190446719527
1,2019-03-28,0.64009824155382,True,-0.006319133412837982
1,2019-03-29,0.5183349066261749,True,-0.007256664906442166
1,2019-04-01,0.3195595916815609,True,0.015978321781754495
1,2019-04-02,0.2051245091051725,True,0.0005937937034294009
1,2019-04-03,0.09915768584309392,True,0.0003074576740153134
1,2019-04-04,0.18650442377360105,True,-0.00013888690443709492
1,2019-04-05,0.033522006354325604,True,0.00623665131777525
1,2019-04-08,0.2648688477936282,True,0.0027268521703779696
1,2019-04-09,0.42467619834237114,True,0.00018197891740128402
1,2019-04-10,7.190029676717028,True,0.0009811833932995796
1,2019-04-11,0.5240743917429934,True,0.0011949823834002018
1,2019-04-12,0.47522157048378827,True,-0.004706850592046976
1,2019-04-15,0.3464593114583414,False,-0.0024892260756343605
1,2019-04-16,0.38472535161792676,False,0.00016231941133737564
1,2019-04-17,0.37092032860019203,False,0.0057758533880114555
1,2019-04-18,0.30145098923864544,False,-0.01023021640777588
1,2019-04-19,0.4902368740255062,False,0.002027345693483949
1,2019-04-22,0.3361495212128168,False,-0.0012262501906603574
1,2019-04-23,0.34918565397675433,False,0.0012398375045508147
1,2019-04-24,0.27907971289036476,False,-0.007791239035129547
1,2019-04-25,0.2730929482328717,False,0.002796352756023407
1,2019-04-26,0.23707197575612843,False,-0.002833032486587763
1,2019-04-29,0.18263899630406846,False,0.00169516185503453
1,2019-04-30,0.11243964387536463,False,-0.00048329419111832976
1,2019-05-02,0.2700931602022821,False,-0.012479459156095982
1,2019-05-03,0.0765930442779695,False,-0.0014814980590716004
1,2019-05-07,0.8343008856759345,False,0.005631137079000473
1,2019-05-08,1.4966379727796943,False,-0.009149465863406658
1,2019-05-09,2.027787771341435,False,-0.010949176372587681
1,2019-05-10,2.504030968991188,False,-0.0037951947920024393
1,2019-05-13,2.2497931107721025,False,-0.0022002565674483776
1,2019-05-14,4.80277840290043,False,0.00309401314035058
1,2019-05-15,1.3250533320938604,False,-0.0008151730211451649
1,2019-05-16,1.3097531234456408,False,-0.009193858236074447
1,2019-05-17,1.2954017740914638,False,-0.002875633558258414
1,2019-05-20,1.01441544546697,False,-0.004991915355622769
1,2019-05-21,0.9285784278010352,False,-0.0018599099854007364
1,2019-05-22,1.2372114719663816,False,-0.0011656655509024857
1,2019-05-23,1.3199799417085645,False,0.0009114318317733705
1,2019-05-24,1.4300351161412683,False,0.003040579841285944
1,2019-05-27,1.7953334991594534,False,-0.0019324773276224731
1,2019-05-28,1.4844387571939126,False,0.006392032933980226
1,2019-05-29,1.9036720894402215,False,0.0008319815656170249
1,2019-05-30,2.021262975911591,False,-0.0013634150102734565
1,2019-05-31,2.353673877933111,False,0.005383520915545523
1,2019-06-03,1.618918138763171,False,0.004306142048723996
1,2019-06-04,1.6995685116949844,False,-0.0002696986071765423
1,2019-06-05,2.5037753506023805,False,0.0008991969153285027
1,2019-06-07,1.2445215781441512,False,-0.00047239753997419025
1,2019-06-10,0.9381735691597641,False,0.004424878986924887
1,2019-06-11,0.5651314961530263,False,0.00824242197573185
1,2019-06-12,0.626845784912411,False,-0.001449589893594384
1,2019-06-13,0.5818629206358762,False,-0.0003334764352766797
1,2019-06-14,0.48267855432889745,False,0.0035431729815900326
1,2019-06-17,0.5472185880906493,False,-0.002983094076439738
1,2019-06-18,0.43635510401311134,False,0.0019843066800385714
1,2019-06-19,0.37723225090078455,False,0.00646454691439867
1,2019-06-20,0.41740923792685447,False,0.00906193637251854
1,2019-06-21,0.13337324742434004,False,-0.0003682932008989155
1,2019-06-24,0.2539126327222653,False,-0.0029120775666087867
1,2019-06-25,0.2589745926153355,False,-0.0063766619496047495
1,2019-06-26,0.2247353527168928,False,0.0035018545255064964
1,2019-06-27,0.18115422028507147,False,-0.003942954958230257
1,2019-06-28,0.5181824171077435,False,-0.0035820613138377666
1,2019-07-01,0.3076838116209559,False,0.009649873503670097
1,2019-07-02,0.3283707257495837,False,-0.0014627369675785304
1,2019-07-03,0.0677802168935805,False,-0.0004193592514842748
1,2019-07-04,0.22835010905580638,False,-0.0014883511163294315
1,2019-07-05,0.15497943819274276,False,0.0017982060860842466
1,2019-07-08,0.893810480650085,False,-0.004374388980865478
1,2019-07-09,0.38628013688306906,False,-0.020813279536366462
1,2019-07-10,0.5052409204453401,False,0.002531754891946912
1,2019-07-11,0.43982235029111716,False,0.01594189503788948
1,2019-07-12,0.6609151884068725,False,-0.0011797560662031173
1,2019-07-15,0.23742383420546775,False,-0.003050981955975294
1,2019-07-16,0.45605397040638596,False,0.006881673616170883
1,2019-07-17,0.3036274243037093,False,-0.006444433412700891
1,2019-07-18,0.43661087304776275,False,-0.0007833991177380085
1,2019-07-19,0.3897286095635762,False,0.007347612127661705
1,2019-07-22,0.3179802357461337,False,0.00449715451002121
1,2019-07-23,0.29412325798452943,False,-0.003433329435065389
1,2019-07-24,0.3471109541645401,False,-0.0019079859931021928
1,2019-07-25,0.3341001252743574,False,-0.0003257087769918144
1,2019-07-26,0.3990852959827748,False,-0.003372484524175525
1,2019-07-29,0.8876151749625419,False,-0.02401799196600914
1,2019-07-30,0.6130917754197551,False,0.005088661765307188
1,2019-07-31,0.8223061061967356,False,0.0011954683978110552
1,2019-08-01,0.7222221831808867,False,-0.005171717888116836
1,2019-08-02,1.3696295588974305,False,-0.0022431355468928815
1,2019-08-05,2.3685195254580056,False,0.003163955318555236
1,2019-08-06,3.562150397998668,False,-0.0015408639617264272
1,2019-08-07,3.0852390420357763,False,0.010374680764973164
1,2019-08-08,1.2569127638056115,False,0.015612648096121848
1,2019-08-09,1.2149297805805812,False,0.0004332731804810464
1,2019-08-12,0.9264385645250571,False,-0.001314506883174181
1,2019-08-13,3.500734063467893,False,0.008996457989327609
1,2019-08-14,2.413628485468432,False,-0.008194925090670586
1,2019-08-16,2.3382572461407265,False,-0.0032943960908800364
1,2019-08-19,1.6950063825049018,False,-0.0024572797022759914
1,2019-08-20,1.588381031995505,False,0.013549239394068718
1,2019-08-21,0.7365219450541481,False,-0.000644089843519032
1,2019-08-22,0.7335365927548524,False,-0.008347381581366062
1,2019-08-23,0.933650526216858,False,-0.004296665365993976
1,2019-08-26,3.5858499365471834,False,0.0007257976019755006
1,2019-08-27,2.059069025572057,False,-0.0021433568835258483
1,2019-08-28,1.2733161424607187,False,0.024032716435194015
1,2019-08-29,1.5678893265059408,False,-0.0019285215962678193
1,2019-08-30,1.7271219522641752,False,-0.0009932757370173931
1,2019-09-02,1.2433302079726358,False,-0.0020945588897913693
1,2019-09-03,1.4283416507791966,False,0.00016661152094602584
1,2019-09-04,1.249844458605147,False,0.00315839214771986
1,2019-09-05,1.0473294864365534,False,0.008161796835064888
1,2019-09-06,0.5567504868133673,False,-0.001894891081377864
1,2019-09-09,0.368125424383909,False,-0.0002035391923505813
1,2019-09-10,0.5274026395203898,False,-0.0003517874915152788
1,2019-09-11,0.05757215274946409,False,0.003702350080013275
1,2019-09-16,0.6880801398690646,False,0.00702012035921216
1,2019-09-17,0.5101558284890668,False,0.0036204618219286204
1,2019-09-18,0.5453046880734718,False,0.00390758204087615
1,2019-09-19,0.43577348622837486,False,0.0029069150935858486
1,2019-09-20,0.24978091929706359,False,0.006583526841551065
1,2019-09-23,0.6765931999007307,False,-0.005616505806148052
1,2019-09-24,0.49838733481056097,False,0.0014615491250529885
1,2019-09-25,1.23195519304234,False,0.0017528286883607507
1,2019-09-26,0.7914080453481536,False,0.0025761476550251244
1,2019-09-27,0.5759883590710643,False,-0.0020491308268159626
1,2019-09-30,0.7524285955255601,False,-0.0036468505457043646
1,2019-10-01,0.6022107928730249,False,0.0056218648597598075
1,2019-10-02,1.3817408574435917,False,0.004017936187237501
1,2019-10-04,1.3494585639321546,False,0.011249028422310948
1,2019-10-07,1.160322509855059,False,0.015132152371108532
1,2019-10-08,1.1981776944052704,False,0.012365440467000008
1,2019-10-10,0.9503029724405764,False,0.0008032021164894104
1,2019-10-11,0.8442202502353288,False,-0.00027519144788384437
1,2019-10-14,0.4709654951357098,False,0.0071590601727366445
1,2019-10-15,0.29731529287621744,False,0.009597376742959022
1,2019-10-16,0.28666242928886965,False,0.01000720058977604
1,2019-10-17,0.09324298176786792,False,0.0009224721340462565
1,2019-10-18,0.33289266051818145,True,-0.013139386951923371
1,2019-10-21,0.1370679245485431,True,-0.0006523992825299501
1,2019-10-22,0.42284830394438383,True,0.011264611861109733
1,2019-10-23,0.15000457396632802,True,0.009162251688539982
1,2019-10-24,0.13701866116066008,True,-0.002677537713199854
1,2019-10-25,0.13651275997498935,True,0.0038820474721491336
1,2019-10-28,0.148582644249886,True,0.0016395554181188345
1,2019-10-29,0.06776109459071811,True,0.0029627308949828146
1,2019-10-30,0.2691124236910611,True,-0.00071313366596587
1,2019-10-31,0.12477301982514022,True,0.004062735140323639
1,2019-11-01,0.21827282029778594,True,0.00041106102243065835
1,2019-11-04,0.10850115102793292,True,0.01081316568851471
1,2019-11-05,0.082000557221726,True,0.005094682485610247
1,2019-11-06,0.3252521240520568,True,-0.0068667929783463475
1,2019-11-07,0.11544358638588567,True,-0.002785388779267669
1,2019-11-08,0.11850686793128015,True,-0.009268017867207528
1,2019-11-11,0.4083780914994611,True,-0.003696210880577564
1,2019-11-12,0.3071496106638257,True,0.005488779260963202
1,2019-11-13,0.1972715700411554,True,-0.004299711927771568
1,2019-11-14,0.21897337376700832,True,0.006041425599902868
1,2019-11-15,0.22636989537096244,True,0.01658829832971096
1,2019-11-18,0.15183043487309153,True,-0.0009312686015851795
1,2019-11-19,0.11389940207056932,True,0.002283956369012594
1,2019-11-20,0.44493170948198835,True,-0.002988500775396824
1,2019-11-21,0.5237204015926544,True,-0.012818378160893916
1,2019-11-22,0.4006370057610922,True,0.0009142207246273756
1,2019-11-25,0.17153190345228708,True,0.015851284623146056
1,2019-11-26,0.36398554903939395,True,0.00010483897561207415
1,2019-11-27,0.23288884054969292,True,0.0012627196226269008
1,2019-11-28,0.10713554989526584,True,-0.0019333882849663496
1,2019-11-29,0.23263432458868938,True,0.0004748879187740386
1,2019-12-02,0.1887934384492681,True,-0.0007725206117145717
1,2019-12-03,0.38326210950814327,True,-0.006021364864706993
1,2019-12-04,0.3772231950037345,True,0.007619410449266434
1,2019-12-05,0.4670741911057689,True,0.005290267436951399
1,2019-12-06,0.40797273810154994,True,0.0031151754304766656
1,2019-12-09,0.14938687836988374,True,0.007974060655012726
1,2019-12-10,0.15327714381577384,True,6.028174422681334e-05
1,2019-12-11,0.07473152556944392,True,-0.0002936152602313086
1,2019-12-12,0.057572776718451145,True,0.016149337020516394
1,2019-12-13,0.2105137155032934,True,0.010669451376795768
1,2019-12-16,0.13929233544169148,True,0.002928919491916895
1,2019-12-17,0.22309226059692527,True,0.0011241716857999563
1,2019-12-18,0.2180004693838575,True,0.001738042830862105
1,2019-12-19,0.1727896347739944,True,0.0022981031939387324
1,2019-12-20,0.19391649128464372,True,0.006639732866734267
1,2019-12-23,0.5376007717293161,True,-0.004996793369203806
1,2019-12-24,0.13858210661981402,True,0.00428409132361412
1,2019-12-26,0.35582364741061956,True,0.005429073162376881
1,2019-12-27,0.25954976226909204,True,0.008399688386917114
1,2019-12-30,0.6485570156689806,True,0.0012828350696712733
2,2020-01-02,0.810442581679661,False,-0.0014542089056223631
2,2020-01-03,0.9297731519968813,False,0.008749410797655583
2,2020-01-06,0.8180632384191364,False,-0.002550088284537196
2,2020-01-07,0.764918898071701,False,1.9603311829268938e-05
2,2020-01-08,1.1351209705336396,False,-0.018013275715708734
2,2020-01-09,1.473109099420975,False,0.019764413791894912
2,2020-01-10,0.4743327118909538,False,-4.817491709254682e-05
2,2020-01-13,0.2613736556656756,False,0.0014036586318165064
