round,train_dist_mean,train_dist_p95,test_dist_mean,test_dist_p90,test_dist_max,frac_above_p95,sharpe_hmm,sharpe_nohmm,hmm_advantage,entropy_mean
1,0.9194,2.91,0.8093,1.7161,9.2744,0.0327,4.0651,2.3947,1.6704,0.0658
2,0.9482,2.9646,4.9152,8.8526,21.3074,0.7033,1.4437,1.6307,-0.187,0.0075
3,0.9662,2.8833,2.4792,5.8273,8.2977,0.3211,-0.4698,-1.3811,0.9113,0.0381
4,0.9461,2.7975,1.2899,2.1474,11.6937,0.062,-1.249,0.619,-1.868,0.0615
5,0.9992,2.6542,0.8791,1.8546,8.1402,0.0609,1.5423,0.7672,0.7751,0.0676
6,1.0234,2.6321,0.7947,1.3641,6.7602,0.0375,0.7834,0.476,0.3075,0.0608
7,1.0259,2.6464,0.9544,2.0766,4.6312,0.0661,3.2671,2.259,1.0081,0.0462
8,1.0208,2.6188,4.3183,6.5245,9.1441,0.7097,-0.0896,0.4335,-0.5231,0.0
