round,regime,n_days_train,mean_kospi_ret,mean_vkospi,std_kospi_ret,self_loop_prob,expected_duration
1,0,471,0.003549159670912951,-0.8110065674309979,0.06797819562229512,0.9561873303926386,22.824448018387354
1,1,168,0.032881978023809516,-0.05091777142857143,1.0291812754374827,0.9061490653920258,10.655194902183032
1,2,420,0.005120581588095238,-0.5433700142142857,0.159826410646564,0.9202629386254121,12.541219638158104
2,0,530,0.00315828790754717,-0.8079129524339623,0.06817024338952558,0.9528605312162575,21.213645927738586
2,1,419,0.0046221586968973735,-0.5599693516706444,0.16300231755898834,0.9067058933615194,10.718790672116631
2,2,257,0.026807000929961074,-0.020763161400778204,1.1178364256367177,0.9304696454290896,14.382207687149819
3,0,453,0.0028785146931567334,-0.7888099962251655,0.06924385215343176,0.945772488480293,18.440824075738522
3,1,471,0.003560806808917198,-0.5308761830360934,0.1606219340846638,0.9127670987813521,11.463564618738468
3,2,294,0.04280258571428571,-0.026517567891156456,1.0866001296111376,0.9213476611105603,12.714180075505242
4,0,701,0.0024000461212553494,-0.6758130751925819,0.10735436035780299,0.967506249085623,30.775148201112895
4,1,334,0.04471996764371257,-0.06577718035928146,0.9142429180746784,0.9304447596239837,14.377061952399124
4,2,182,-0.005016221379120878,1.4818072296153846,0.22061244965976642,0.9889051106177094,90.13158811625222
5,0,272,-0.004027072727941175,1.313743541139706,0.2232564481180102,0.992238273865487,128.83732080592745
5,1,571,0.0011213950070052543,-0.6528467350963223,0.11211840245263488,0.9594787926370469,24.678435443516932
5,2,374,0.024081350521390366,-0.09296767596256685,0.9238119451921595,0.9413693340826285,17.055920896571507
6,0,394,0.0031560875837563455,-0.5501543042893401,0.1414618060144507,0.9510278729033556,20.41977874529611
6,1,325,-0.010309868732307693,1.2692795466769229,0.22392861283130538,0.9779644931150712,45.38130233273414
6,2,499,0.03730633168937876,0.014716630360721445,0.9922755982919804,0.952133991657701,20.89165223155454
7,0,445,0.044711876514606744,-0.004354607707865165,1.0085683368763474,0.9566910762151937,23.089929571300516
7,1,402,0.006979531261194027,-0.4904645463432835,0.15896464314361805,0.9623676823853946,26.57290497601169
7,2,362,-0.005195610674033148,1.17342211660221,0.23995141506275613,0.9821792543489225,56.114374761840395
8,0,549,0.05622288358652095,0.05876509387978141,0.9776343984217128,0.9598732866215302,24.921054225601097
8,1,375,-0.006595145495999999,1.2071175283733333,0.2531648874254718,0.9745480779594365,39.28976359452427
8,2,280,4.5183332142857886e-05,-0.4096147828571428,0.20731399360974648,0.9564040748534877,22.937923593531075
