date,portfolio_value,return,semicon,bank,car,finance,treasury3,ener&chem,iron,wti,gold,copper,necessities,healthcare,silver,treasury10
2020-01-02,0.9998009083876662,-0.00019911143369972704,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09
2020-01-03,0.9859572160787949,-0.01394320528805256,2.061149917409466e-09,2.061149917409466e-09,2.061149917409466e-09,2.061149917409466e-09,2.061149917409466e-09,2.061149917409466e-09,2.061149917409466e-09,2.061149917409466e-09,1.8234812841910752e-06,2.061149917409466e-09,2.061149917409466e-09,0.999998152256012,2.061149917409466e-09,2.061149917409466e-09
2020-01-06,1.0076146726113269,0.0217281440526247,2.061147474918812e-09,2.061147474918812e-09,2.061147474918812e-09,2.061147474918812e-09,2.061147474918812e-09,2.061147474918812e-09,2.061147474918812e-09,2.061147474918812e-09,0.9999969601631165,2.061147474918812e-09,2.061147474918812e-09,2.9998982427059673e-06,2.061147474918812e-09,2.061147474918812e-09
2020-01-07,1.0166234687231206,0.008900983937084675,8.054745421759435e-07,0.7808892130851746,8.054745421759435e-07,8.054745421759435e-07,8.054745421759435e-07,8.054745421759435e-07,8.054745421759435e-07,8.054745421759435e-07,0.0004324802430346608,8.054745421759435e-07,8.054745421759435e-07,0.21866942942142487,8.054745421759435e-07,8.054745421759435e-07
2020-01-08,0.9961726072340495,-0.02032154724448919,1.9732204759037586e-09,0.9573379158973694,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09,0.042662058025598526,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09,1.9732204759037586e-09
2020-01-09,1.0210995502329614,0.024714773082733156,2.06115324807854e-09,1.510137934701561e-07,2.06115324807854e-09,2.06115324807854e-09,2.06115324807854e-09,2.06115324807854e-09,2.06115324807854e-09,2.06115324807854e-09,1.9858093835978252e-08,2.06115324807854e-09,2.06115324807854e-09,0.9999998211860657,2.06115324807854e-09,2.06115324807854e-09
2020-01-10,1.0271266158217482,0.005885173311829567,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09
2020-01-13,1.031178462117846,0.003937075774965295,0.49999988079071045,2.354913419821969e-07,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,1.0305765130169675e-09,0.49999988079071045,1.0305765130169675e-09,1.0305765130169675e-09
2020-01-14,1.0309969367405443,-0.00017605231627821922,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09
2020-01-15,1.0386673571484106,0.007412270240485668,2.0596939709349726e-09,0.0007081513176672161,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09,0.9992918372154236,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09,2.0596939709349726e-09
