date,portfolio_value,return,semicon,bank,car,finance,treasury3,ener&chem,iron,wti,gold,copper,necessities,healthcare,silver,treasury10
2022-01-04,0.9885727471000547,-0.011493045654892921,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09
2022-01-05,0.9672267444941763,-0.021829282946821446,3.409778459584345e-09,2.33809075211866e-07,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,3.409778459584345e-09,0.9999997019767761,3.409778459584345e-09,3.409778459584345e-09
2022-01-06,0.9617210814298413,-0.005708477897942066,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09
2022-01-07,0.9544657411098644,-0.007572721935808659,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.9999999403953552,2.061153470123145e-09,2.061153470123145e-09,1.0845488063182529e-08,2.061153470123145e-09,2.061153470123145e-09
2022-01-10,0.9487042237707193,-0.006054671990871429,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09
2022-01-11,0.9667170540561104,0.01880877227783203,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09
2022-01-12,0.9740053969797726,0.007510993840545416,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09
2022-01-13,0.9660382427124891,-0.00821342251598835,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09
2022-01-14,0.959255332526606,-0.00704613398835063,2.0610511075602744e-09,0.9999502897262573,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,2.0610511075602744e-09,4.966920823790133e-05,2.0610511075602744e-09,2.0610511075602744e-09
2022-01-17,0.9550788536665046,-0.004363381813466549,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09
