date,portfolio_value,return,semicon,bank,car,finance,treasury3,ener&chem,iron,wti,gold,copper,necessities,healthcare,silver,treasury10
2024-01-02,0.9893770525378148,-0.010679773768782616,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09
2024-01-03,0.9841782139684344,-0.005268512803316116,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,0.9999936819076538,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,2.0611405915360592e-09,6.304065664153313e-06
2024-01-04,0.9607096366965395,-0.024134776133298876,0.5,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,1.030576846083875e-09,0.5,1.030576846083875e-09,1.030576846083875e-09
2024-01-05,0.9591760861858918,-0.001597543873079121,2.0611440332274356e-10,0.09999953210353851,0.09999953210353851,4.651520612242166e-06,0.09999953210353851,0.09999953210353851,0.09999953210353851,0.09999953210353851,0.09999953210353851,0.09999953210353851,2.0611440332274356e-10,2.0611440332274356e-10,0.09999953210353851,0.09999953210353851
2024-01-08,0.9533442190902106,-0.006098638696968556,2.0611483630972316e-09,2.0611483630972316e-09,2.0611483630972316e-09,2.0611483630972316e-09,2.0611483630972316e-09,2.0611483630972316e-09,2.0611483630972316e-09,2.0611483630972316e-09,0.9999974966049194,2.0611483630972316e-09,2.0611483630972316e-09,2.455878757245955e-06,2.0611483630972316e-09,4.829426103469814e-08
2024-01-09,0.9530274973856705,-0.00033227696856483814,0.11110746115446091,2.290095474366538e-10,0.11110746115446091,0.11110746115446091,2.290095474366538e-10,0.11110746115446091,0.11110746115446091,0.11110746115446091,2.290095474366538e-10,0.11110746115446091,0.11110746115446091,0.11110746115446091,3.286914943601005e-05,2.290095474366538e-10
2024-01-10,0.950885925213639,-0.002249653844349086,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.9999998807907104,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,6.870629931654548e-08
2024-01-11,0.9530145184042506,0.002236035066470504,9.895348984656493e-10,9.895348984656493e-10,9.895348984656493e-10,9.895348984656493e-10,0.039824169129133224,9.895348984656493e-10,9.895348984656493e-10,9.895348984656493e-10,0.48008790612220764,9.895348984656493e-10,9.895348984656493e-10,9.895348984656493e-10,9.895348984656493e-10,0.48008790612220764
2024-01-12,0.9360894006814144,-0.017919152495265007,0.4846377372741699,9.989128413323556e-10,9.989128413323556e-10,9.989128413323556e-10,0.02224149741232395,9.989128413323556e-10,9.989128413323556e-10,9.989128413323556e-10,0.0011554373195394874,9.989128413323556e-10,9.989128413323556e-10,0.4846377372741699,9.989128413323556e-10,0.0073275635950267315
2024-01-15,0.9159128709963669,-0.021789744314551353,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09
